CP014715.1_cds_AOA65887.1_1	[locus_tag=AT250_GQ6802991]
CP014715.1_cds_AOA65908.1_2	[locus_tag=AT250_GQ6802990]
CP014715.1_cds_AOA65548.1_3	[locus_tag=AT250_GQ6802989]
CP014715.1_cds_AOA65939.1_4	[locus_tag=AT250_GQ6802988]
CP014715.1_cds_AOA65730.1_5	[locus_tag=AT250_GQ6802987]
CP014715.1_cds_AOA66759.1_6	[gene=YFL040W]
CP014715.1_cds_AOA66719.1_7	[locus_tag=AT250_GQ6802985]
CP014715.1_cds_AOA66408.1_8	[gene=FMO1]
CP014715.1_cds_AOA66635.1_9	[locus_tag=AT250_GQ6802983]
CP014715.1_cds_AOA66252.1_10	[locus_tag=AT250_GQ6802982]
CP014715.1_cds_AOA65753.1_11	[gene=YCT1]
CP014715.1_cds_AOA66046.1_12	[locus_tag=AT250_GQ6802980]
CP014715.1_cds_AOA66910.1_13	[locus_tag=AT250_GQ6802979]
CP014715.1_cds_AOA66308.1_14	[locus_tag=AT250_GQ6802978]
CP014715.1_cds_AOA66545.1_15	[gene=KAP104]
CP014715.1_cds_AOA66760.1_16	[locus_tag=AT250_GQ6802975]
CP014715.1_cds_AOA65430.1_17	[locus_tag=AT250_GQ6802974]
CP014715.1_cds_AOA65899.1_18	[locus_tag=AT250_GQ6802973]
CP014715.1_cds_AOA66564.1_19	[locus_tag=AT250_GQ6802972]
CP014715.1_cds_AOA66165.1_20	[locus_tag=AT250_GQ6802971]
CP014715.1_cds_AOA65650.1_21	[gene=PHM7]
CP014715.1_cds_AOA65623.1_22	[gene=IPP1]
CP014715.1_cds_AOA66493.1_23	[gene=TRP1]
CP014715.1_cds_AOA66723.1_24	[gene=RFC4]
CP014715.1_cds_AOA66680.1_25	[gene=VPS52]
CP014715.1_cds_AOA66433.1_26	[locus_tag=AT250_GQ6802965]
CP014715.1_cds_AOA66295.1_27	[gene=HMT1]
CP014715.1_cds_AOA65651.1_28	[locus_tag=AT250_GQ6802963]
CP014715.1_cds_AOA66703.1_29	[gene=GLC3]
CP014715.1_cds_AOA65988.1_30	[locus_tag=AT250_GQ6802961]
CP014715.1_cds_AOA65431.1_31	[locus_tag=AT250_GQ6802960]
CP014715.1_cds_AOA66875.1_32	[locus_tag=AT250_GQ6802958]
CP014715.1_cds_AOA65985.1_33	[gene=YKR023W]
CP014715.1_cds_AOA65477.1_34	[gene=IME2]
CP014715.1_cds_AOA66758.1_35	[locus_tag=AT250_GQ6802954]
CP014715.1_cds_AOA65741.1_36	[gene=PRM10]
CP014715.1_cds_AOA66430.1_37	[gene=SCP160]
CP014715.1_cds_AOA66761.1_38	[locus_tag=AT250_GQ6802951]
CP014715.1_cds_AOA65723.1_39	[locus_tag=AT250_GQ6802950]
CP014715.1_cds_AOA66299.1_40	[gene=CDC34]
CP014715.1_cds_AOA65664.1_41	[gene=SLM4]
CP014715.1_cds_AOA66298.1_42	[gene=DBF4]
CP014715.1_cds_AOA66542.1_43	[locus_tag=AT250_GQ6802946]
CP014715.1_cds_AOA66361.1_44	[gene=BIO2]
CP014715.1_cds_AOA66094.1_45	[gene=PNG1]
CP014715.1_cds_AOA66553.1_46	[gene=PEA2]
CP014715.1_cds_AOA66868.1_47	[gene=TPS2]
CP014715.1_cds_AOA66138.1_48	[gene=APN2]
CP014715.1_cds_AOA66451.1_49	[gene=CGR1]
CP014715.1_cds_AOA65862.1_50	[gene=SEC13]
CP014715.1_cds_AOA65535.1_51	[locus_tag=AT250_GQ6802937]
CP014715.1_cds_AOA66242.1_52	[locus_tag=AT250_GQ6802936]
CP014715.1_cds_AOA66837.1_53	[gene=YIL067C]
CP014715.1_cds_AOA66423.1_54	[locus_tag=AT250_GQ6802934]
CP014715.1_cds_AOA66088.1_55	[gene=LHS1]
CP014715.1_cds_AOA65950.1_56	[locus_tag=AT250_GQ6802932]
CP014715.1_cds_AOA66627.1_57	[gene=BUB2]
CP014715.1_cds_AOA66239.1_58	[locus_tag=AT250_GQ6802930]
CP014715.1_cds_AOA65677.1_59	[gene=RGP1]
CP014715.1_cds_AOA66050.1_60	[gene=RPP0]
CP014715.1_cds_AOA65492.1_61	[gene=RSN1]
CP014715.1_cds_AOA66367.1_62	[gene=PPA2]
CP014715.1_cds_AOA66796.1_63	[gene=NUP188]
CP014715.1_cds_AOA65836.1_64	[gene=PRP24]
CP014715.1_cds_AOA66746.1_65	[gene=TMA23]
CP014715.1_cds_AOA66223.1_66	[gene=DBP5]
CP014715.1_cds_AOA65636.1_67	[locus_tag=AT250_GQ6802920]
CP014715.1_cds_AOA65637.1_68	[locus_tag=AT250_GQ6802920]
CP014715.1_cds_AOA66221.1_69	[gene=YKR070W]
CP014715.1_cds_AOA65905.1_70	[gene=MET1]
CP014715.1_cds_AOA66263.1_71	[gene=ETT1]
CP014715.1_cds_AOA65655.1_72	[gene=GPT2]
CP014715.1_cds_AOA65482.1_73	[gene=YIF1]
CP014715.1_cds_AOA66508.1_74	[gene=POL2]
CP014715.1_cds_AOA65957.1_75	[locus_tag=AT250_GQ6802911]
CP014715.1_cds_AOA66774.1_76	[locus_tag=AT250_GQ6802910]
CP014715.1_cds_AOA66871.1_77	[locus_tag=AT250_GQ6802909]
CP014715.1_cds_AOA65701.1_78	[locus_tag=AT250_GQ6802908]
CP014715.1_cds_AOA66134.1_79	[locus_tag=AT250_GQ6802907]
CP014715.1_cds_AOA65812.1_80	[locus_tag=AT250_GQ6802906]
CP014715.1_cds_AOA65509.1_81	[gene=ARD1]
CP014715.1_cds_AOA66122.1_82	[gene=TRS31]
CP014715.1_cds_AOA66768.1_83	[locus_tag=AT250_GQ6802903]
CP014715.1_cds_AOA65461.1_84	[gene=AHC1]
CP014715.1_cds_AOA66757.1_85	[gene=YOR021C]
CP014715.1_cds_AOA65433.1_86	[gene=YOR022C]
CP014715.1_cds_AOA65419.1_87	[gene=AIM31]
CP014715.1_cds_AOA66896.1_88	[gene=KGD2]
CP014715.1_cds_AOA65515.1_89	[gene=YLR132C]
CP014715.1_cds_AOA66170.1_90	[gene=IGO2]
CP014715.1_cds_AOA65553.1_91	[locus_tag=AT250_GQ6802895]
CP014715.1_cds_AOA66577.1_92	[gene=SWI4]
CP014715.1_cds_AOA66863.1_93	[locus_tag=AT250_GQ6802893]
CP014715.1_cds_AOA66624.1_94	[locus_tag=AT250_GQ6802892]
CP014715.1_cds_AOA65634.1_95	[gene=TIF6]
CP014715.1_cds_AOA66285.1_96	[gene=HSP104]
CP014715.1_cds_AOA66383.1_97	[gene=ACO1]
CP014715.1_cds_AOA66331.1_98	[gene=RIM4]
CP014715.1_cds_AOA65443.1_99	[gene=RRI1]
CP014715.1_cds_AOA65444.1_100	[gene=NPR1]
CP014715.1_cds_AOA66630.1_101	[gene=MRPL19]
CP014715.1_cds_AOA65875.1_102	[gene=UBP10]
CP014715.1_cds_AOA66694.1_103	[gene=YNL181W]
CP014715.1_cds_AOA65894.1_104	[gene=IPI3]
CP014715.1_cds_AOA66118.1_105	[locus_tag=AT250_GQ6802880]
CP014715.1_cds_AOA66693.1_106	[gene=NOP6]
CP014715.1_cds_AOA66275.1_107	[locus_tag=AT250_GQ6802878]
CP014715.1_cds_AOA66797.1_108	[locus_tag=AT250_GQ6802877]
CP014715.1_cds_AOA66879.1_109	[gene=RPS3]
CP014715.1_cds_AOA66402.1_110	[gene=SHR3]
CP014715.1_cds_AOA66309.1_111	[gene=MRPL22]
CP014715.1_cds_AOA66390.1_112	[gene=MOH1]
CP014715.1_cds_AOA65462.1_113	[locus_tag=AT250_GQ6802872]
CP014715.1_cds_AOA66510.1_114	[gene=NOP13]
CP014715.1_cds_AOA66743.1_115	[gene=UGP1]
CP014715.1_cds_AOA66729.1_116	[gene=RRP36]
CP014715.1_cds_AOA65733.1_117	[gene=MPD1]
CP014715.1_cds_AOA65879.1_118	[gene=GLN3]
CP014715.1_cds_AOA65964.1_119	[locus_tag=AT250_GQ6802866]
CP014715.1_cds_AOA66414.1_120	[gene=DUG1]
CP014715.1_cds_AOA66543.1_121	[locus_tag=AT250_GQ6802864]
CP014715.1_cds_AOA65993.1_122	[gene=SDT1]
CP014715.1_cds_AOA66820.1_123	[locus_tag=AT250_GQ6802862]
CP014715.1_cds_AOA65772.1_124	[gene=COX5B]
CP014715.1_cds_AOA66598.1_125	[locus_tag=AT250_GQ6802860]
CP014715.1_cds_AOA66528.1_126	[locus_tag=AT250_GQ6802859]
CP014715.1_cds_AOA66646.1_127	[locus_tag=AT250_GQ6802858]
CP014715.1_cds_AOA65389.1_128	[gene=ATP11]
CP014715.1_cds_AOA65401.1_129	[locus_tag=AT250_GQ6802855]
CP014715.1_cds_AOA66681.1_130	[locus_tag=AT250_GQ6802852]
CP014715.1_cds_AOA66001.1_131	[gene=RPL23B]
