KEGG	GS115_MIT
ppa:PAS_chr1-3_0003	lcl|CP014715.1_cds_AOA65887.1_1
ppa:PAS_chr1-3_0003	lcl|CP014715.1_cds_AOA65498.1_1548
ppa:PAS_chr1-3_0004	lcl|CP014715.1_cds_AOA65908.1_2
ppa:PAS_chr1-3_0005	lcl|CP014715.1_cds_AOA65548.1_3
ppa:PAS_chr1-3_0008	lcl|CP014715.1_cds_AOA65939.1_4
ppa:PAS_chr1-3_0010	lcl|CP014715.1_cds_AOA65730.1_5
ppa:PAS_chr1-3_0011	lcl|CP014715.1_cds_AOA66759.1_6
ppa:PAS_chr1-3_0011	lcl|CP014717.1_cds_AOA69201.1_2841
ppa:PAS_chr1-3_0013	lcl|CP014715.1_cds_AOA66719.1_7
ppa:PAS_chr1-3_0014	lcl|CP014715.1_cds_AOA66408.1_8
ppa:PAS_chr1-3_0015	lcl|CP014715.1_cds_AOA66635.1_9
ppa:PAS_chr1-3_0016	lcl|CP014715.1_cds_AOA66252.1_10
ppa:PAS_chr1-3_0017	lcl|CP014715.1_cds_AOA65753.1_11
ppa:PAS_chr1-3_0018	lcl|CP014715.1_cds_AOA66046.1_12
ppa:PAS_chr1-3_0020	lcl|CP014715.1_cds_AOA66910.1_13
ppa:PAS_chr1-3_0290	lcl|CP014715.1_cds_AOA66308.1_14
ppa:PAS_chr1-3_0022	lcl|CP014715.1_cds_AOA66545.1_15
ppa:PAS_chr1-3_0023	lcl|CP014715.1_cds_AOA66760.1_16
ppa:PAS_chr1-3_0024	lcl|CP014715.1_cds_AOA65430.1_17
ppa:PAS_chr1-3_0025	lcl|CP014715.1_cds_AOA65899.1_18
ppa:PAS_chr1-3_0026	lcl|CP014715.1_cds_AOA66564.1_19
ppa:PAS_chr1-3_0027	lcl|CP014715.1_cds_AOA65650.1_21
ppa:PAS_chr1-3_0028	lcl|CP014715.1_cds_AOA65623.1_22
ppa:PAS_chr1-3_0029	lcl|CP014715.1_cds_AOA66493.1_23
ppa:PAS_chr1-3_0030	lcl|CP014715.1_cds_AOA66723.1_24
ppa:PAS_chr1-3_0031	lcl|CP014715.1_cds_AOA66680.1_25
ppa:PAS_chr1-3_0032	lcl|CP014715.1_cds_AOA66433.1_26
ppa:PAS_chr1-3_0033	lcl|CP014715.1_cds_AOA66295.1_27
ppa:PAS_chr1-3_0034	lcl|CP014715.1_cds_AOA65651.1_28
ppa:PAS_chr1-3_0036	lcl|CP014715.1_cds_AOA65988.1_30
ppa:PAS_chr1-3_0037	lcl|CP014715.1_cds_AOA65431.1_31
ppa:PAS_chr1-3_0039	lcl|CP014715.1_cds_AOA66875.1_32
ppa:PAS_chr1-3_0040	lcl|CP014715.1_cds_AOA65985.1_33
ppa:PAS_chr1-3_0041	lcl|CP014715.1_cds_AOA65477.1_34
ppa:PAS_chr1-3_0043	lcl|CP014715.1_cds_AOA66758.1_35
ppa:PAS_chr1-3_0044	lcl|CP014715.1_cds_AOA65741.1_36
ppa:PAS_chr1-3_0045	lcl|CP014715.1_cds_AOA66430.1_37
ppa:PAS_chr1-3_0046	lcl|CP014715.1_cds_AOA66761.1_38
